stemming,label,total_weight,word_weights
maaf aku lebih pikir karyawan kopi kenang janji_jiwa fore dan lain lain,positive,4,"[2, 2, 1, 1, 3, 0, 3, 0, 0, 0, -4, -4]"
lebih baik wfc fore janji_jiwa,positive,4,"[1, 3, 0, 0, 0]"
support kopi kenang janji_jiwa coffee shop lokal tempat,positive,12,"[4, 0, 3, 0, 2, 0, 0, 3]"
hidup umkm lokal,positive,2,"[2, 0, 0]"
fore discount pakai referral e voucher free beverage on birthday tomoro beli kopi cuma reff janji_jiwa off kode novej t coffee jajan murah promo minum kopi toast burger zonajajan,positive,21,"[0, 0, 0, 0, 0, 3, 3, 0, 0, 4, 0, 2, 0, 3, 0, 0, 0, -3, 0, 0, 2, 0, 3, 3, -3, 0, 4, 0, 0]"
kasih janji_jiwa ken hehe,positive,5,"[2, 0, 3, 0]"
point coffee fore janji_jiwa,positive,2,"[0, 2, 0, 0]"
hangry tuh cloud kitchen satu brand hangry pegang beberapa brand,positive,4,"[0, 0, 0, 0, 3, 0, 0, -2, 3, 0]"
sama kayak kopi kenang janji_jiwa dan lain lain,negative,-5,"[3, -3, 0, 3, 0, 0, -4, -4]"
kopi susu sahabat janji_jiwa enak kak,positive,9,"[0, 0, 4, 0, 5, 0]"
segi rego bedo lur,negative,-4,"[-4, 0, 0, 0]"
kopi kenang saingmo ambil janji_jiwa fore,negative,-2,"[0, 3, 0, -5, 0, 0]"
kalau beli kopi ambil skop kalau aku pilih skop,negative,-5,"[-1, 2, 0, -5, 0, -1, 2, -2, 0]"
nek lebih enak janji_jiwa,positive,6,"[0, 1, 5, 0]"
kemarin gue coba mie janji_jiwa enak sih mie tipis kriting apek masa rasa,positive,5,"[0, 0, 2, 0, 0, 5, 0, 0, 0, 0, -4, 0, 2]"
hehehehe kemarin aku janji_jiwa terus pakai voucher lumayan,positive,6,"[0, 0, 2, 0, 0, 0, 3, 1]"
mau murah download jiwa app terus masukkin kode referral aku biar diskon alzmq zonajajan zonauang,positive,10,"[5, 3, 0, 0, 0, 0, 0, -3, 0, 2, 1, 2, 0, 0, 0]"
janji_jiwa sih tertawa,positive,5,"[0, 0, 5]"
kalo kata aku sih kak kalo gate mampir dulu jajan kue ngeteh biar engga masuk angin toko pas habis imigrasi terus jalan pelan kayak princess clingak clinguk lumayan ribu langkah kalo terminal mampir janji_jiwa terus,positive,8,"[0, -1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, -3, 0, 0, 3, 3, 0, 0, 0, 0, -3, 0, 0, 0, 1, 0, 4, 0, -3, 2, 0, 0]"
toastnya lebih enak mana sama janji_jiwa kak,positive,9,"[0, 1, 5, 0, 3, 0, 0]"
kalo lihat tata new born kayak roti janji_jiwa,positive,3,"[0, 3, 3, 0, 0, -3, 0, 0]"
kopi janji_jiwa hidup jiwa teguk satu cangkir penuh inspirasi,positive,4,"[0, 0, 2, 0, 2, 3, 0, 0, -3]"
teguk janji lezat,positive,7,"[2, 0, 5]"
temu nikmat kopi sejati janji_jiwa,positive,8,"[2, 3, 0, 3, 0]"
nikmat hari sepenuh hati,positive,5,"[3, 0, 0, 2]"
mulai hari semangat akhir nikmat,positive,8,"[1, 0, 4, 0, 3]"
janji_jiwa nikmat sejati teguk,positive,8,"[0, 3, 3, 2]"
nikmat kopi sepenuh hati,positive,5,"[3, 0, 0, 2]"
wts voucher janji_jiwa max ribu buat kopi toast burger sango fee mesan lalu app aku kalian tinggal pick up fee bayar pesan kalian pick up t promo matcha susu minum kopi cafe jajan murah diskon discount geber beef chicken zonajajan zonauang,positive,22,"[0, 3, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, -3, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0]"
bakmi jamur janji_jiwa enak deh,positive,5,"[0, 0, 0, 5, 0]"
wkwkwkwkw benar banget sumpah kopi janji_jiwa se gaenak,positive,1,"[0, 2, 1, 3, 0, 0, 0, -5]"
wts voucher janji_jiwa max ribu buat kopi toast burger sango fee mesan lalu app aku kalian tinggal pick up fee bayar pesan kalian pick up t promo matcha susu minum kopi cafe jajan murah diskon discount geber beef chicken zonajajan zonauang,positive,22,"[0, 3, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, -3, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0]"
nitip bekne mbak mbak skena cari kopi entar beli janji_jiwa,negative,-1,"[0, 0, 0, 0, 0, -3, 0, 0, 2, 0]"
pagi janji_jiwa,positive,1,"[1, 0]"
tempat cari inspirasi depan rumah,positive,1,"[3, -3, -3, 1, 3]"
siap buka franchise janji_jiwa,positive,4,"[1, 3, 0, 0]"
toast janji_jiwa kali,positive,4,"[4, 0, 0]"
lama beli kopi kenang janji_jiwa maks ribu duit mampu segitu laku orang bodoh mulai besok beli kopi starbuck dukung karyawan sama bangsa indonesia,positive,13,"[-4, 2, 0, 3, 0, 0, 0, 0, 2, -3, 0, 0, 0, 1, 0, 2, 0, 0, 4, 3, 3, 0, 0]"
dulu sekarang lebih fore tomoro sama kopi kenang janji_jiwa enak cuma pahit espreso nya,positive,12,"[0, 0, 1, 0, 0, 3, 0, 3, 0, 5, 3, -3, 0, 0]"
kamu selingkuh janji_jiwa,negative,-5,"[0, -5, 0]"
voucher fore janji_jiwa ready,positive,4,"[3, 0, 0, 1]"
better janji_jiwa kopi kenang,positive,5,"[2, 0, 0, 3]"
rumah sakit janji_jiwa,negative,-2,"[3, -5, 0]"
janji_jiwa apa bangor,negative,-3,"[0, -3, 0]"
kalau kasih kopi janji_jiwa tenang enggak jiwa,positive,6,"[-1, 2, 0, 0, 5, 0, 0]"
sayank banyak sayank jiwa janji_jiwa belikan,positive,2,"[0, 3, 0, 0, 0, -1]"
iced double shaken janji_jiwa lumayan nih,positive,1,"[0, 0, 0, 0, 1, 0]"
mun nyaman serasa janji_jiwa terus jua jual es buah rami benar pom bensin kalau veteran kanan jalan,positive,8,"[0, 4, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, -1, 0, 0, 0]"
kasihan lucu banget woy mbak janji_jiwa,positive,8,"[4, 3, 1, 0, 0, 0]"
tukar koin coin lazada jadi voucher diskon ribu janji_jiwa tukar sini pukul wib tukar koin voucher ribu janji_jiwa guna floating clock refresh halaman detik tukar bagi free gifthadiah gratis,positive,26,"[1, 0, 0, 0, 1, 3, 2, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 1, 2, 3, 0, 4]"
tuker koin voucher ribu janji_jiwa mar cek bagi hadiah gratis,positive,9,"[0, 0, 3, 0, 0, 0, -4, 2, 4, 4]"
kira janji_jiwa jadi janji_jiwa,positive,3,"[2, 0, 1, 0]"
promo bank saqu chattime janji_jiwa janji_jiwa total,positive,3,"[3, 0, 0, 0, 0, 0, 0]"
adek adekku support palestine support palestine pas mall nyuruh mbak nya jajanin sbux aku omelin ramai boycot mbak enggak punya duit wkwkwkk sbux mahal banget bjiirrr,positive,19,"[1, 0, 4, 0, 4, 0, 3, 0, -3, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0]"
better janji_jiwa,positive,2,"[2, 0]"
serasa janji_jiwa nyaman terus pramuka bejual tahu gejrot nuaman benar heh,positive,10,"[0, 0, 4, 0, 0, 0, 4, 0, 0, 2, 0]"
ukhti ukhti janji_jiwa tsann tertawa,positive,5,"[0, 0, 0, 0, 5]"
ira janji_jiwa,negative,-3,"[-3, 0]"
when teman kamu mau bilang kopi janji_jiwa keluar mulut kopi pilih hati,positive,1,"[0, 0, 0, 5, 0, 0, 0, -3, -1, 0, -2, 2]"
pilih bilang bukan milik,negative,-4,"[-2, 0, -3, 1]"
asli,positive,2,[2]
kamu mau menang lucu,positive,12,"[0, 5, 4, 3]"
sama siapa aku lupa sugar gildernya nama janji_jiwa burung kak lybr wkwkwkw benar angsa blueband sama tiffany sugarglider jawa burung kokom kucing jojo n,positive,12,"[3, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
choi ji woo signed letter gang rapes shin admin ah jung hae,negative,-4,"[0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0]"
kopi janji_jiwa coffee shops tebet kopi janji_jiwa jacob santoso has sex choi ji woo lah,positive,2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sesal potong rambut lanjut minum kopi janji_jiwa teluk lalong luwuk,negative,-2,"[1, -2, 0, 2, -3, 0, 0, 0, 0, 0]"
tuker koin voucher ribu janji_jiwa mar cek bagi hadiah gratis,positive,9,"[0, 0, 3, 0, 0, 0, -4, 2, 4, 4]"
janji_jiwa kopi kenang kak,positive,3,"[0, 0, 3, 0]"
lah ketemu niken janji_jiwa,positive,1,"[0, 1, 0, 0]"
srkg engga dua ah ssan no engga,positive,1,"[0, 0, 1, 0, 0, 0, 0]"
taehyung jeno mark event jual janji_jiwa enggak kayak hah deh engga sayang sama padahal asli sayang banget,positive,10,"[0, 0, 0, 0, 1, 0, 0, -3, 0, 0, 0, 3, 3, 0, 2, 3, 1]"
engga lah aku enggak ada crush,positive,6,"[0, 0, 2, 0, 4, 0]"
burger geber janji_jiwa enak loh nyata,positive,9,"[0, 0, 0, 5, 0, 4]"
sumpah kopi buat gua enak banget lebih enak banding kopi kenang kopi janji_jiwa dan lain lain approved by my mom amp friends,positive,14,"[3, 0, 1, -3, 5, 1, 1, 5, 3, 0, 3, 0, 0, 0, -4, -4, 0, 0, 0, 0, 0, 3]"
kalah sama tuku,negative,-1,"[-4, 3, 0]"
kok rasa kopi tuku kayak,negative,-1,"[0, 2, 0, 0, -3]"
info promo janji_jiwa ramadhan laku maret bantu support like comment repost,positive,7,"[-3, 3, 0, 0, 0, 0, 3, 4, 0, 0, 0]"
tebus koin voucher digital janji_jiwa ribu gratis wib,positive,7,"[0, 0, 3, 0, 0, 0, 4, 0]"
cobainn soy coffee latte janji_jiwa caa,positive,2,"[0, 0, 2, 0, 0, 0]"
moga janji_jiwa engga ramee,positive,1,"[1, 0, 0, 0]"
kynya matcha enak pernah aku minum matcha latte janji_jiwa,positive,4,"[0, 0, 5, 0, 2, -3, 0, 0, 0]"
tambah kopi janji_jiwa dan lain lain semua premade engga request no sugar misal,negative,-8,"[3, 0, 0, 0, -4, -4, -3, 0, 0, 0, 0, 0, 0]"
aaaa kemarin tomoro jadi sekarang mau belah janji_jiwa,positive,1,"[0, 0, 0, 1, 0, 5, -5, 0]"
terima kasih cantik,positive,6,"[2, 2, 2]"
minum rekomen janji_jiwa kamu apa,negative,-6,"[-3, 0, 0, 0, -3]"
tadi minum kopi janji_jiwa,negative,-3,"[0, -3, 0, 0]"
matcha janji_jiwa serius engga enak banget semua outlet cuma tempat sih mana kurang manis,positive,6,"[0, 0, -5, 0, 5, 1, -3, 0, 3, 3, 0, 0, -3, 5]"
kerja sama teh botol sosro kopi janji_jiwa,positive,6,"[2, 3, 1, 0, 0, 0, 0]"
janji_jiwa lumayan,positive,1,"[0, 1]"
engga enak kopi kenang,positive,8,"[0, 5, 0, 3]"
ih sumpahhhh kenapaaa janji_jiwa toast enakkk buangetttttt i love sok muchhhhhhhh,positive,6,"[0, 0, -3, 0, 4, 0, 0, 0, 5, 0, 0]"
iya kaknbagiku kopi janji_jiwa tuku kenang kopi botol sachet semua enak gaenak cuma kopi starbucks tertawa,positive,8,"[0, 0, 0, 0, 0, 3, 0, 0, 0, -3, 5, -5, 3, 0, 0, 5]"
tomoro coffe janji_jiwa enak coeg,positive,5,"[0, 0, 0, 5, 0]"
pakai kode hdeffc app kopi janji_jiwa disc gaisss,negative,-3,"[0, -3, 0, 0, 0, 0, 0, 0]"
tuker koin voucher ribu janji_jiwa mar cek bagi hadiah gratis,positive,9,"[0, 0, 3, 0, 0, 0, -4, 2, 4, 4]"
baru tau janji_jiwa keliling,positive,2,"[0, 2, 0, 0]"
comparative advantagenya soal jangkau harga kikis habis sejak ada gaco,positive,2,"[0, 0, -1, 0, 3, -5, 3, 0, 4, -2]"
plus konsumsi kopi lokal murah baik minimarket utama points cafe famima amp franchise cafe chain macam tuku amp janji_jiwa makin parah,positive,5,"[2, 0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, -5]"
dom janji_jiwa bangkrut ra onok sg tuku,negative,-5,"[0, 0, -5, 0, 0, 0, 0]"
janji_jiwa sih aku enak aja engga kecut amp pahit banget tetap bikin melek,positive,7,"[0, 0, 2, 5, 1, 0, -4, 0, -3, 1, 3, 0, 2]"
kamu tuh cakep banget sayang rugi kalo engga minum janji_jiwa,positive,1,"[0, 0, 5, 1, 3, -5, 0, 0, -3, 0]"
janji_jiwa apa janji palsu,negative,-3,"[0, -3, 0, 0]"
tak bayar kopi barter sama susu dek,positive,4,"[0, 1, 0, 0, 3, 0, 0]"
pernah gara tara masuk sakola pas bahasa sunda pernah cicing kosan pernah tolak pernah jadi urus fisika ipa engga sidu point pernah gara ngancurin pintu kelas jadi tim hore pernah jadi baca janji_jiwa pernah dah aing kasep,negative,-22,"[0, -4, 2, -3, 0, 3, -4, 0, 0, 0, 0, 0, -4, 0, 1, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -3, 1, -4, 0, 0, 1, 3, 0, 0, -3, 0, -4]"
beby gua turun minum kopi janji_jiwa sabi kali,negative,-5,"[0, -3, 1, -3, 0, 0, 0, 0]"
gua gua tonjok,negative,-11,"[-3, -3, -5]"
yaudah deh seblak,positive,1,"[1, 0, 0]"
gua gua injek batang leher kamu anyiing,negative,-13,"[-3, -3, -3, -4, 0, 0, 0]"
kena usus buntu malah pengin makan begitu,negative,-5,"[-3, 0, -3, 0, 0, 1, 0]"
cek janji_jiwa kalo biasa kopsu nya large,negative,-2,"[-4, 0, 0, 2, 0, 0, 0]"
menang soal janji engga ditepatin,positive,3,"[4, -1, 0, 0, 0]"
nyokap gua kalo beli kopi raden tuku kalo engga tomoro anjir terus gua tawarin beli janji_jiwa engga mau,positive,4,"[0, -3, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, -3, 0, 2, 0, 0, 5]"
boleeh nder fyi dulu aku addicted banget sama janji_jiwa sekarang addictnya sama fore iced classic latte,positive,9,"[0, 0, 0, 0, 2, 0, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0]"
hahahahhahaha janji_jiwa muda,negative,-2,"[0, 0, -2]"
dear coffee shop janji_jiwa playlistnya jangan dilooping terus dong terus playlistnya lebih variasi thank you,positive,6,"[2, 2, 0, 0, 0, -3, 0, 0, 0, 0, 0, 1, 0, 4, 0]"
anw caramel macchiato janji_jiwa enak,positive,5,"[0, 0, 0, 0, 5]"
info promo janji_jiwa laku gofood grab food shopee food laku hingga mei bantu support like comment repost,positive,7,"[-3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0]"
jalan tengah janji_jiwa dialog baru hotways sarap pecel mbah kromo kanan jalan belah e paud tak,positive,1,"[0, 2, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, -5, 0, 0, 0]"
benar janji_jiwadll,positive,2,"[2, 0]"
alhasil kena tremor,negative,-3,"[0, -3, 0]"
pernah ditegor custnomer pas pegang barang tremor sang makan,positive,2,"[0, 0, 0, 3, -2, 0, 0, 0, 1]"
wah asik banget,positive,8,"[3, 4, 1]"
aku kasih kamu voucher diskon guna kode crmosk klik link download jiwa sekarang,positive,7,"[2, 2, 0, 3, 2, 1, -3, 0, 0, 0, 0, 0, 0]"
nikmat untung jangan lupa share teman,positive,4,"[3, 3, -3, 1, 0, 0]"
t janji_jiwa janji_jiwa promo referral,positive,3,"[0, 0, 0, 3, 0]"
sangking gabutnya hari beli kopi tiga tempat konnichiwa samanko janji_jiwa,positive,5,"[0, 0, 0, 2, 0, 0, 3, 0, 0, 0]"
tim janji_jiwa sori,negative,-4,"[-4, 0, 0]"
kopi susu sahabat janji_jiwa persis bikin emak,positive,4,"[0, 0, 4, 0, 0, 0, 0]"
nikmat promo spesial janji_jiwa perlu tunggu gaji,positive,13,"[3, 3, 4, 0, 2, 1, 0]"
hemat pesan paket menu favorit,positive,15,"[4, 2, 4, 0, 5]"
info lengkap sini pilih,negative,-3,"[-3, 2, 0, -2]"
tiba tiba pengin bubur ayam belakang kampus depan janji_jiwa,positive,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
hahahahahahahaha iyasi mayo janji_jiwa gaenak oekkk,negative,-5,"[0, 0, 0, 0, -5, 0]"
pernah salah satu pernah menang janji_jiwa pas curhat sama teman tertawa terus pas bapak ojol lihat bapak ikut nenangin,positive,19,"[0, -4, 3, 0, 4, 0, 3, 2, 3, 0, 5, 0, 3, 0, 0, 3, 0, -3, 0]"
akhir nyantol plssss moga lolos jadi ridersnya janji_jiwa gua muak rumah mulu,negative,-5,"[0, 0, 0, 1, -4, 1, 0, 0, -3, -5, 3, 2]"
janji_jiwa kenang point sih,positive,3,"[0, 3, 0, 0]"
kapten minum kopi kopi janji_jiwa,negative,-3,"[0, -3, 0, 0, 0]"
menu rekomen janji_jiwa apa ges,negative,-3,"[0, 0, 0, -3, 0]"
walaupun gasuka kopi janji_jiwa kalo apa apa ken duduk janji_jiwa manah,negative,-9,"[0, -4, 0, 0, 0, -3, -3, 3, 0, 0, -2]"
brings back good memory indeed,positive,5,"[0, 0, 5, 0, 0]"
buat siapa nyiptain kopi susu sahabat janji_jiwa gua sumpahin moga sehat selalu lancar rezeki,positive,15,"[1, 1, 0, 0, 0, 4, 0, -3, 0, 1, 4, 0, 4, 3]"
enak banget kacau,positive,6,"[5, 1, 0]"
pakai aplikasi jiwa aplikasi janji_jiwa tinggal pasuk kode refferal dinl dapat disk bday treatsnya,negative,-6,"[0, -4, 0, -4, 0, 1, 2, -3, 0, 0, 2, 0, 0, 0]"
aku coba,positive,4,"[2, 2]"
janji_jiwa selamat jiwa turuku,positive,5,"[0, 5, 0, 0]"
mau saham janji_jiwa,positive,5,"[5, 0, 0]"
martabakkkk aku mau martabakkkkk kopi janji_jiwa,positive,7,"[0, 2, 5, 0, 0, 0]"
jajan dekatdi rs tuh enak,positive,5,"[0, 0, 0, 0, 5]"
rs carolus kitchen avenue amp family mart rsui family mart amp kopkar rs bunda depok janji_jiwa pizza domino amp rm sederhana,positive,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3]"
kalian suka janji_jiwa kalo beli toast nya biasa rasa apa,positive,10,"[0, 3, 0, 0, 2, 4, 0, 2, 2, -3]"
aku dulu pesan beef truffle mayo pengin coba laiinnn,positive,6,"[2, 0, 2, 0, 0, 0, 0, 2, 0]"
pernah voc refund begini ku belikan voc janji_jiwa,negative,-2,"[0, 0, 0, -1, 0, -1, 0, 0]"
promo minum tomoro new user app all beverages cuma pakai referral,positive,3,"[3, -3, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
download masa laku voucher minggu fore new user app discount pakai referral e janji_jiwa new user app off pakai referral novej t es kopi susu iced coffee jajan murah,positive,8,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3]"
kali pesan tomoro coffee benar bukan selera aku lah kopi encer banget monanges,positive,9,"[0, 2, 0, 2, 2, -3, 3, 2, 0, 0, 0, 1, 0]"
janji_jiwa tomoro enggak mau beli deh,positive,7,"[0, 0, 0, 5, 2, 0]"
baruka tau kopi susu sahabat janji_jiwa enak banget bagikuuuu suka kopi manis wkwkwkwowwkwow,positive,20,"[0, 2, 0, 0, 4, 0, 5, 1, 0, 3, 0, 5, 0]"
freegratis voucher diskon aplikasi voucher diskon alfagift ribu minbel ribu amp payment ovo ribu minbel ribu,positive,6,"[0, 3, 2, -4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
voucher diskon janji_jiwa diskon maks ribu,positive,7,"[3, 2, 0, 2, 0, 0]"
voucher diskon tomoro coffee serba ribu dan lain lain,negative,-1,"[3, 2, 0, 2, 0, 0, 0, -4, -4]"
ih janji_jiwa botol baruuuu lucu,positive,3,"[0, 0, 0, 0, 3]"
mau janji_jiwa,positive,5,"[5, 0]"
benar kopi kenang masalah jarak lumayan,positive,5,"[2, 0, 3, -4, 3, 1]"
dekat kosan janji_jiwa ruko,positive,1,"[1, 0, 0, 0]"
aku bilang banyak promo tuh janji_jiwa jadi menu baru,positive,9,"[2, 0, 3, 3, 0, 0, 1, 0, 0]"
nah terus tuh promo,positive,3,"[0, 0, 0, 3]"
ah iya janji_jiwa ambil kopi planet mars,negative,-5,"[0, 0, 0, -5, 0, 0, 0]"
ah kalau soal harga benar kan sama janji_jiwa kopi kenang,positive,9,"[0, -1, -1, 3, 2, 0, 3, 0, 0, 3]"
deketnya janji_jiwa sama cempaka,positive,3,"[0, 0, 3, 0]"
kalo pegang janji manis sulit pegang janji_jiwa toaster jamin kenyang,negative,-1,"[0, -2, 0, 5, 0, -2, 0, 0, -5, 3]"
chicken nugget janji_jiwa engga tau punya dendam apa mas,negative,-3,"[0, 0, 0, 0, 2, 3, -5, -3, 0]"
gua heran sama janji_jiwa kadang kasih kantong plastik kadang kasih tas bagus sekali,positive,16,"[-3, 4, 3, 0, 3, 2, 1, 0, 3, 2, 0, 2, -1]"
pengin jauh banget sini,negative,-3,"[0, -4, 1, 0]"
malah banyak janji_jiwa masa,positive,3,"[0, 3, 0, 0]"
cui download apk janji_jiwa pakai kode referal aku angksr disc minimal belanja rp,negative,-2,"[0, 0, 0, 0, 0, -3, 0, 2, 0, 0, -3, 2, 0]"
orang tua jarang percaya kalo bilang sakit soal pernah demam hampir an turun dikit nyanyi walaupun menang bilang aduh pusing tambah hari kemudian gofood janji_jiwa kopi mirip air kobok haha,negative,-4,"[0, -4, 0, 2, 0, 0, -5, -1, 0, 0, 0, 0, 1, -4, 3, 0, 4, 0, 1, -4, 3, 0, 0, 0, 0, 0, 1, -1, 0, 0]"
pegang janji_jiwa,negative,-2,"[-2, 0]"
promo spesial,positive,7,"[3, 4]"
dapat minum rp,negative,-1,"[2, -3, 0]"
lihat cara pesan sini yuk rasa nikmat susu coklat ukur large kopi susu sahabat ukur reguler spesial kopi janji_jiwa,positive,28,"[3, 0, 2, 0, 4, 2, 3, 0, 0, 3, 0, 0, 0, 4, 3, 0, 4, 0, 0]"
kaget lain malam loh janji_jiwa,negative,-2,"[3, -4, -1, 0, 0]"
baca postingan lupa orang indonesia kok minum setarbug,positive,1,"[3, 0, 1, 0, 0, 0, -3, 0]"
padahal engga usah isu boikot minum overprice kalah rasa sama lokal kayak tuku kopi soe fore janji_jiwa bahkan kopi susu keluarga family mart enak,negative,-7,"[0, 0, -5, -1, 0, -3, 0, -4, 2, 3, 0, -3, 0, 0, -5, 0, 0, 0, 0, 0, 4, 0, 0, 5]"
iye iye soal janji_jiwa kenang langsung beli sama tani brazil,positive,10,"[0, 0, -1, 0, 3, 3, 2, 3, 0, 0]"
dians garden lebih resto sih jadi harga sesuai kalo low budget asal nongki coba kedai kopling bright bless likelike tengahtengah sih cerita coffee cantik tempat mirip kayak janji_jiwamirip gitulahh,positive,17,"[0, 0, 1, 0, 0, 1, 3, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 3, 1, -3, 0, 0]"
tau resep saus salted egg janji_jiwa kasih tau enak banget,positive,15,"[2, 3, 0, 0, 0, 0, 2, 2, 5, 1]"
kata mbak nek watuk pilek marine tuku kopine janji_jiwa,negative,-1,"[-1, 0, 0, 0, 0, 0, 0, 0, 0]"
tipikal cappucino kopi kenang janji_jiwa dan lain lain,negative,-5,"[0, 0, 0, 3, 0, 0, -4, -4]"
satu lompat kali lompat kali,positive,3,"[3, 0, 0, 0, 0]"
hari baru janji_jiwa landas ulin sepi,negative,-3,"[0, 0, 0, 0, 0, -3]"
kon konsumen cuman pindah doang,positive,2,"[0, 0, 0, 1, 1]"
sbux janji_jiwa fore kopi sama pointcofe kalau janji_jiwaforepointcofe makin kembang bakal butuh nyerap banyak tenaga kerja,positive,10,"[0, 0, 0, 0, 3, 0, -1, 0, 2, 3, 0, -5, 0, 3, 3, 2]"
info promo janji_jiwa via gofood susu coklat l kopi susu sahabat r ribu khusus beli via gofood periode mei,positive,6,"[-3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0]"
barter kuesioner yuk nderr barangkali sini suka beli janji_jiwa aku minta buat isi kuesioner jgaa enggak,positive,16,"[0, 0, 4, 0, 0, 0, 3, 2, 0, 2, 2, 1, 2, 0, 0, 0]"
soal responden kurang lumayan banyak replydm mau bantu isi barter terimakasih,positive,15,"[-1, 0, -3, 1, 3, 0, 5, 3, 2, 0, 5]"
aku biasa minum kopi janji_jiwa enak banget disituu engga makan sushi ramen,positive,8,"[2, 2, -3, 0, 0, 5, 1, 0, 0, 1, 0, 0]"
janji_jiwa jiwa toast,positive,4,"[0, 0, 4]"
nastar overrated gasuka kastengel rawon jakarta banyak aneh amp gamasuk lidah utama rawon kuning kopi janji_jiwa minta no sugar kopi nya kadang kurang rasa sayur asem gamasuk bagi lidah orang,positive,5,"[0, 0, -4, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, -4, 0, 0, 2, 0, 0, 0, 0, 3, -3, 2, 0, 0, 0, 2, 0, 0]"
satu flowcoffe,positive,3,"[3, 0]"
kalian coba enak poll nama nun sango gyu teriyaki janji_jiwa,positive,7,"[0, 2, 5, 0, 0, 0, 0, 0, 0, 0]"
kalau mau mesen maka appnya biar diskon,positive,7,"[-1, 5, 0, 0, 0, 1, 2]"
cara dapat diskon download app gtgt daftar gtgt pasuk kode dinams gtgt pesan deh promo janji_jiwa promo janji_jiwa,positive,12,"[0, 2, 2, 0, 0, 0, 1, 0, 2, -3, 0, 0, 2, 0, 3, 0, 3, 0]"
oke fix sama kak dora janji_jiwa,positive,5,"[2, 0, 3, 0, 0, 0]"
janji_jiwa nyata seman janji,negative,-1,"[0, 4, -5, 0]"
ciplaz cengkareng mau beli janji_jiwa enggak bisa cash ajar engga selalu pegang cashless,positive,8,"[0, 0, 5, 2, 0, 0, 0, 2, 1, 0, 0, -2, 0]"
excelso beli beansbubuk gold arabica nyeduh sendiri rumah paling mantap sih,positive,9,"[0, 2, 0, 0, 0, 0, -3, 3, 2, 5, 0]"
fore butterscoth sea saltnya enak pas,positive,8,"[0, 0, 0, 0, 5, 3]"
point caramel macchiato minta less sugar kalo enggak manis banget janji_jiwa americano,positive,8,"[0, 0, 0, 2, 0, 0, 0, 0, 5, 1, 0, 0]"
tonton perempuan tanah roti jahat janji_jiwa jahanam ehooooooooo,negative,-13,"[-4, 0, 0, 0, -4, 0, -5, 0]"
kemarin beli kopi janji_jiwa deh enggak terima cash kaget ey untung bawa hp qris kalau enggak bakal enggak jadi beli,positive,15,"[0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 3, 1, 0, 0, -1, 0, 0, 0, 1, 2]"
kapan hari janji_jiwa java mall engga terima tunai,positive,5,"[0, 0, 0, 0, 0, 0, 2, 3]"
padahal engga semua orang punya saldo mbanking,positive,2,"[0, 0, -3, 0, 3, 2, 0]"
janji_jiwa kan menu nya banyak sekarang apa menu enak deh,positive,5,"[0, 0, 0, 0, 3, 0, -3, 0, 5, 0]"
